Date,Country,Location,Region,Operator,Wireline Company,Well,Mud,Open Hole /Cased Hole,Bit size / Csg size [inches],Depth [m],Temperature (degC),Deviation,Dif. Pressure [psi],DLS          [deg/30m],Main Application,Toolstring,Probe/Coring Bit Orientation,System,Jar included in the Toolstring,Successful ,Unsuccessful - Downhole Conditions,Unsuccessful - Wrong Setup,Jar Activation,Remarks,Hole Size Group,Depth Group,Temperature Group,Deviation Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-14,New Zealand,New Plymouth,APAC,KEA,SLB,J,WBM,OH,8.5,2300,,55,,,Sensor orientation,MDT pretest,Probe-UP,Wireline Express,,1,0,0,,6 Tool taxi. Used Tool Taxi to sample from high side,8-10,2000m-4000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-14,USA,Larose,NAM,GOM1,SLB,I,SOBM,OH,12.25,5000,,30,,,Ledges,PEX-AIT,,Wireline Express,,1,0,0,,Bridged out on initial runs (without Petromac),12-14,4000m-6000m,<110,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-14,USA,Larose,NAM,GOM2,SLB,K,SOBM,OH,12.25,5500,,31,,,Ledges,XPT-NGIT-PEX(AIT),Probe-UP,Wireline Express,,1,0,0,,Bridged out on initial runs (without Petromac),12-14,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,SOBM,OH,12.25,4700,,56,,,Deviation,PEX(AIT)-DSI,,Wireline Express,,1,0,0,,2100m tangent section.  Log down slow without holdup.,12-14,4000m-6000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,SOBM,OH,12.25,4700,,56,,,Sensor orientation,CMR-XPT,Probe-DOWN,Wireline Express,,1,0,0,,"12.25 hole.  Tool Taxi centralised probe.  114 sets, 3 lost seal.",12-14,4000m-6000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,SOBM,OH,12.25,4700,,56,,,Sensor orientation,MDT sample,Probe-UP,Wireline Express,,1,0,0,,"Dual probes. 52m string.  Sample from high side.  12 MPSR samples taken in low perm rock. High side perm 50x higher,",12-14,4000m-6000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,SOBM,OH,12.25,4700,,56,,,Sensor orientation,MSCT,Bit-DOWN,Wireline Express,,1,0,0,,Tool Taxi centralises MSCT.  49/50 successful.,12-14,4000m-6000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,L,SOBM,OH,12.25,4680,,56,,,Sensor orientation,MSCT,Bit-DOWN,Wireline Express,,1,0,0,,misrun - cable problem,12-14,4000m-6000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-14,Australia,Perth,APAC,QGC,SLB,N,WBM,OH,8.5,1200,,43,,,Ledges,FMI,,Wireline Express,,1,0,0,,,8-10,<2000m,<110,40-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,M,SOBM,OH,8.5,5200,,56,,,Deviation,PEX(AIT)-DSI,,Wireline Express,,1,0,0,,,8-10,4000m-6000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,M,SOBM,OH,8.5,5200,,56,,,Stick-slip,CMR-XPT,Probe-UP,Wireline Express,,1,0,0,,,8-10,4000m-6000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,M,SOBM,OH,8.5,5200,,56,,,Deviation,VSI,,Wireline Express,,1,0,0,,Run with tractor,8-10,4000m-6000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-14,Australia,Perth,APAC,ORIGIN,SLB,P,SOBM,OH,8.5,3420,,67,,,Deviation,CMR-MDT,Probe-UP,Wireline Express,,1,0,0,,Tractor on toolstring.  MDT highside successful,8-10,2000m-4000m,<110,60-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-14,Australia,Perth,APAC,QGC,SLB,Q,WBM,OH,8.5,1300,,58,,,Ledges,FMI,,Wireline Express,,0,Hung-Up - Washout/Ledge,0,,Stopped by ledge near TD.,8-10,<2000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,O,SOBM,OH,8.5,4500,,15,,,Ledges,PEX-AIT,,Wireline Express,,1,0,0,,,8-10,4000m-6000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,O,SOBM,OH,8.5,4500,,15,,,Ledges,DSI-NGI,,Wireline Express,,1,0,0,,,8-10,4000m-6000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,O,SOBM,OH,8.5,4500,,15,,,Ledges,CMR-XPT,Probe-UP,Wireline Express,,1,0,0,,,8-10,4000m-6000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-14,Vietnam,Vung Tau,APAC,TALISMAN,SLB,O,SOBM,OH,8.5,4500,,15,,,Sensor orientation,MDT,Probe-UP,Wireline Express,,1,0,0,,High side.,8-10,4000m-6000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
